"source","target"
"From",""
"To",""
"Subject",""
"Reply to",""
"From:",""
"To:",""
"Failed",""
"Technical failure",""
"Inbox not accepting messages right now",""
"Email address doesn’t exist",""
"Delivered",""
"Sending",""
"Phone not accepting messages right now",""
"Phone number doesn’t exist",""
"Sent",""
"Email address",""
"email address",""
"phone number",""
"Can’t be empty",""
"Mobile number",""
"Password",""
"Must be at least 8 characters",""
"Choose a password that’s harder to guess",""
"Numbers only",""
"Not enough numbers",""
"Too many numbers",""
"Not a valid choice",""
"Enter your password",""
"Full name",""
"Templates","Templates"
"Folders this team member can see",""
"Sign in using","Log in using"
"Text message code",""
"Email link",""
"You can’t send an invitation to yourself",""
"Please enter security code",""
"Service name",""
"Sending domain",""
"STMP name",""
"Domain names",""
"What’s your service called?",""
"Who runs this service?",""
"What’s your key called?",""
"Numbers of text message fragments per year",""
"Enter password",""
"Invalid password",""
"Template name",""
"Message",""
"Use priority queue?",""
"Yes",""
"No",""
"The email address is already in use",""
"When should Notification send these messages?","When should <i>Notify</i> send these messages?"
"Type of key",""
"You need to give the key a name",""
"A key with this name already exists",""
"Inbound SMS number",""
"You need to provide a number",""
"This number already exists",""
"Ask a question or give feedback","Contact us"
"Your name",""
"Ask a question",""
"Give feedback",""
"Set up a demo",""
"Other",""
"Your email",""
"Your phone",""
"Phone number",""
"Reply-to email address",""
"Make this email address the default",""
"Text message sender",""
"Enter 11 characters or fewer",""
"Enter 4 characters or more",""
"Make this text message sender the default",""
"On",""
"Off",""
"Send",""
"emails",""
"text messages",""
"letters",""
"Email addresses",""
"Mobile numbers",""
"Search by name",""
"Search by name or email address",""
"You need to enter full or partial email address to search by.",""
"Search by email address",""
"Search by phone number",""
"Search by phone number or email address",""
"Must be a valid https URL",""
"Bearer token",""
"Must be at least 10 characters",""
"Send text messages to international phone numbers",""
"Folder name",""
"Email",""
"Text message",""
"Choose a folder",""
"New template",""
"Select the type of template you want to add",""
"What’s their name?",""
"What’s their email address?",""
"Password is blacklisted.",""
"Not a csv file",""
"isn’t a spreadsheet that Notification can read","isn’t a spreadsheet that Notify can read"
"Enter a government email address.",""
"If you think you should have access",""
"contact us",""
"Enter a valid email address",""
"You can’t put commas between double brackets",""
"Name your service in both official languages",""
"Safelist updated",""
"Live – sends to anyone",""
"Team and safelist – limits who you can send to",""
"Test – pretends to send messages",""
"Not available because your service is in ",""
"trial mode",""
"Are you sure you want to revoke",""
"You will not be able to use this API key to connect to Notification.","You will not be able to use this API key to connect to <i>Notify</i>"
"was revoked",""
"Received",""
"January",""
"February",""
"March",""
"April",""
"May",""
"June",""
"July",""
"August",""
"September",""
"October",""
"November",""
"December",""
"Invalid month",""
"financial year",""
"to",""
"Invite sent to",""
"(Default)",""
"(Receives replies)",""
"(Default and receives replies)",""
"Where should replies come back to?",""
"Send to one recipient",""
"What should appear in the top right of the letter?",""
"Who should the message come from?",""
"Use my",""
"Example text message",""
"Personalise this message",""
"This service name is already in use",""
"Change your service name",""
"Thanks for your request to go live. We’ll get back to you within one working day.",""
"‘%(service_name)s’ was deleted",""
"Are you sure you want to delete",""
"There’s no way to undo this.",""
"This will suspend the service and revoke all API keys. Are you sure you want to suspend this service?",""
"This will resume the service. New API key are required for this service to use the API.",""
"Sending domain updated",""
"Change",""
"Add",""
"Are you sure you want to delete this reply-to email address?",""
"Start all text messages with",""
"Are you sure you want to delete this contact block?",""
"Are you sure you want to delete this text message sender?",""
"The email address or password you entered is incorrect.",""
"Select at least one template or folder",""
"All",""
"Letter",""
"You must empty this folder before you can delete it",""
"Folder is not empty",""
"Are you sure you want to delete the",""
"folder?",""
"New",""
"Edit",""
"more than seven days",""
"This template was last used",""
"ago.",""
"Personalised content will be hidden for messages sent with this template",""
"Email resent",""
"Check your email",""
"See dashboard",""
"Send messages",""
"Add and edit templates",""
"Manage settings and teams",""
"Manage API integration",""
"default",""
"Email template",""
"Text message template",""
"Letter template",""
"Notification","Notify"
"Menu",""
"Documentation","Technical documentation"
"Platform admin",""
"Sign out",""
"Sign in","Log in"
"Terms of Use","Terms of use"
"Message status",""
"Privacy",""
"Security",""
"research mode",""
"cancel",""
"delete",""
"suspend",""
"resume",""
"remove",""
"revoke this API key",""
"block",""
"archive",""
"Try again",""
"Unblock",""
"Dashboard",""
"Sent messages",""
"Uploaded files",""
"Uploads",""
"Team members",""
"Settings",""
"API integration",""
"SMTP integration",""
"Now",""
"Done",""
"Copy template",""
"New folder",""
"Nothing selected",""
"selection",""
"selections",""
"Choose a different time",""
"Clear",""
"Cancel",""
"Add to new folder",""
"Move",""
"AM",""
"PM",""
"Today",""
"Tomorrow",""
"Monday",""
"Tuesday",""
"Wednesday",""
"Thursday",""
"Friday",""
"Saturday",""
"Sunday",""
"o_clock",""
"Hour to send",""
"Copied to clipboard",""
"Show",""
"Copy",""
"to clipboard",""
"Add another",""
"number",""
"remaining",""
"Remove",""
"folder",""
"folders",""
"All folders",""
"Choose folders",""
"All team members",""
"Choose team members",""
"Cancel upload",""
"Choose arbitrary things",""
"Send Now",""
"Schedule",""
"<i>Notify</i>",""
"Alpha",""
"Log out",""
"Log in",""
"Product features",""
"Technical documentation",""
"Contact us",""
"Terms of use",""
"Switch service",""
"Back to",""
"API key",""
"API data:",""
"failed",""
"No failures",""
"Choose file",""
"or",""
"Submit",""
"Services",""
"message","message"
"messages","messages"
"text message","text message"
"text-messages","text messages"
"email",""
"letter",""
"recipient",""
"recipients",""
"phone numbers",""
"email addresses",""
"address",""
"addresses",""
"Template",""
"Delete",""
"Back",""
"sending",""
